marks,question,subject,topic,weightage,email
5,Explain the concept of branch prediction and its impact on CPU performance.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the differences between a Harvard architecture and a Modified Harvard architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
3,What is a compiler?,Computer Science,Computer Programmings,2,thehitman@gmail.com
4,What is the difference between HTTP and HTTPS?,Computer Science,Networking,3,thehitman@gmail.com
2,What is an IP address?,Computer Science,Networking,1,thehitman@gmail.com
5,Explain the concept of object-oriented programming.,Computer Science,Computer Programming,4,thehitman@gmail.com
3,What is a database?,Computer Science,Databases,2,thehitman@gmail.com
4,What is the difference between TCP and UDP?,Computer Science,Networking,3,thehitman@gmail.com
2,What is the role of an operating system?,Computer Science,Operating Systems,1,thehitman@gmail.com
3,What is the purpose of HTML?,Computer Science,Web Development,2,thehitman@gmail.com
4,Explain the concept of recursion in programming.,Computer Science,Algorithms,3,thehitman@gmail.com
5,What is the difference between a switch and a router?,Computer Science,Networking,4,thehitman@gmail.com
1,What is a variable in programming?,Computer Science,Programming Fundamentals,1,thehitman@gmail.com
2,What is the purpose of CSS?,Computer Science,Web Development,1,thehitman@gmail.com
3,What is a linked list?,Computer Science,Data Structures,2,thehitman@gmail.com
5,Explain the concept of virtual memory.,Computer Science,Operating Systems,4,thehitman@gmail.com
4,What is the difference between a compiler and an interpreter?,Computer Science,Computer Programmings,3,thehitman@gmail.com
2,What is a function in programming?,Computer Science,Programming Fundamentals,1,thehitman@gmail.com
3,What is a firewall?,Computer Science,Networking,2,thehitman@gmail.com
4,What is the purpose of JavaScript?,Computer Science,Web Development,3,thehitman@gmail.com
1,What is a stack data structure?,Computer Science,Data Structures,1,thehitman@gmail.com
5,What is the difference between static and dynamic typing?,Computer Science,Computer Programmings,4,thehitman@gmail.com
2,What is a thread?,Computer Science,Operating Systems,1,thehitman@gmail.com
3,What is the purpose of SQL?,Computer Science,Databases,2,thehitman@gmail.com
4,Explain the concept of Big O notation.,Computer Science,Algorithms,3,thehitman@gmail.com
2,What is an API?,Computer Science,Web Development,2,thehitman@gmail.com
1,What is a queue data structure?,Computer Science,Data Structures,1,thehitman@gmail.com
3,What is the difference between symmetric and asymmetric encryption?,Computer Science,Cryptography,2,thehitman@gmail.com
4,What is the purpose of version control systems like Git?,Computer Science,Software Development Tools,3,thehitman@gmail.com
2,Explain the concept of time complexity in algorithms.,Computer Science,Algorithms,1,thehitman@gmail.com
3,What is a binary tree?,Computer Science,Data Structures,2,thehitman@gmail.com
5,What is the difference between HTTP GET and POST methods?,Computer Science,Web Development,4,thehitman@gmail.com
4,What is a deadlock?,Computer Science,Operating Systems,3,thehitman@gmail.com
2,What is the purpose of XML?,Computer Science,Data Interchange,1,thehitman@gmail.com
3,Explain the concept of inheritance in object-oriented programming.,Computer Science,Computer Programming,2,thehitman@gmail.com
5,What is a hash table?,Computer Science,Data Structures,4,thehitman@gmail.com
4,What is the difference between RAM and ROM?,Computer Science,Computer Hardware,3,thehitman@gmail.com
1,What is the purpose of RESTful APIs?,Computer Science,Web Development,1,thehitman@gmail.com
2,Explain the concept of algorithm efficiency.,Computer Science,Algorithms,1,thehitman@gmail.com
3,What is a graph data structure?,Computer Science,Data Structures,2,thehitman@gmail.com
5,What is the difference between a hub and a switch?,Computer Science,Networking,4,thehitman@gmail.com
4,What is a cache memory?,Computer Science,Computer Architecture,3,thehitman@gmail.com
2,What is the purpose of AJAX in web development?,Computer Science,Web Development,1,thehitman@gmail.com
3,Explain the concept of polymorphism in object-oriented programming.,Computer Science,Computer Programming,2,thehitman@gmail.com
5,What is a binary search tree?,Computer Science,Data Structures,4,thehitman@gmail.com
1,What is the difference between synchronous and asynchronous communication?,Computer Science,Networking,1,thehitman@gmail.com
2,What is a CPU?,Computer Science,Computer Architecture,1,thehitman@gmail.com
3,What is the purpose of JSON?,Computer Science,Data Interchange,2,thehitman@gmail.com
4,Explain the concept of dynamic programming.,Computer Science,Algorithms,3,thehitman@gmail.com
5,What is a heap data structure?,Computer Science,Data Structures,4,thehitman@gmail.com
1,What is the difference between a local variable and a global variable in programming?,Computer Science,Programming Fundamentals,1,thehitman@gmail.com
2,What is an operating system kernel?,Computer Science,Operating Systems,1,thehitman@gmail.com
3,What is the purpose of CSS frameworks like Bootstrap?,Computer Science,Web Development,2,thehitman@gmail.com
4,Explain the concept of multithreading.,Computer Science,Operating Systems,3,thehitman@gmail.com
5,What is a trie data structure?,Computer Science,Data Structures,4,thehitman@gmail.com
2,What is the difference between HTTP and FTP?,Computer Science,Networking,1,thehitman@gmail.com
3,What is an assembly language?,Computer Science,Computer Programmings,2,thehitman@gmail.com
4,What is the purpose of Docker in software development?,Computer Science,Containerization,3,thehitman@gmail.com
5,Explain the concept of bit manipulation.,Computer Science,Computer Science Fundamentals,4,thehitman@gmail.com
1,What is a hash function?,Computer Science,Cryptography,1,thehitman@gmail.com
2,What is the difference between a bit and a byte?,Computer Science,Computer Science Fundamentals,1,thehitman@gmail.com
3,What is a process in operating systems?,Computer Science,Operating Systems,2,thehitman@gmail.com
4,What is the purpose of client-side scripting languages like JavaScript?,Computer Science,Web Development,3,thehitman@gmail.com
5,Explain the concept of database normalization.,Computer Science,Databases,4,thehitman@gmail.com
1,What is a priority queue data structure?,Computer Science,Data Structures,1,thehitman@gmail.com
2,What is the difference between virtual reality (VR) and augmented reality (AR)?,Computer Science,Virtual Reality,1,thehitman@gmail.com
3,What is a kernel in operating systems?,Computer Science,Operating Systems,2,thehitman@gmail.com
4,What is the purpose of CSS pre-processors like Sass?,Computer Science,Web Development,3,thehitman@gmail.com
5,Explain the concept of pipelining in computer architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
1,What is a trie data structure used for?,Computer Science,Data Structures,1,thehitman@gmail.com
2,What is the difference between a proxy server and a reverse proxy server?,Computer Science,Networking,1,thehitman@gmail.com
3,What is a GPU?,Computer Science,Computer Architecture,2,thehitman@gmail.com
4,What is the purpose of NoSQL databases?,Computer Science,Databases,3,thehitman@gmail.com
5,Explain the concept of parallel computing.,Computer Science,Computer Architecture,4,thehitman@gmail.com
1,What is a bloom filter?,Computer Science,Data Structures,1,thehitman@gmail.com
2,What is the difference between interpreted and compiled Computer Programmings?,Computer Science,Computer Programmings,1,thehitman@gmail.com
3,What is a file system?,Computer Science,Operating Systems,2,thehitman@gmail.com
4,What is the purpose of server-side scripting languages like PHP?,Computer Science,Web Development,3,thehitman@gmail.com
5,Explain the concept of machine learning.,Computer Science,Artificial Intelligence,4,thehitman@gmail.com
1,What is a skip list data structure?,Computer Science,Data Structures,1,thehitman@gmail.com
2,What is the difference between a URL and a URI?,Computer Science,Networking,1,thehitman@gmail.com
3,What is an assembler?,Computer Science,Computer Programmings,2,thehitman@gmail.com
4,What is the purpose of cloud computing?,Computer Science,Cloud Computing,3,thehitman@gmail.com
5,Explain the concept of binary code.,Computer Science,Computer Science Fundamentals,4,thehitman@gmail.com
1,What is a cryptographic hash function?,Computer Science,Cryptography,1,thehitman@gmail.com
2,What is the difference between a byte array and a string in programming?,Computer Science,Programming Fundamentals,1,thehitman@gmail.com
3,What is a page fault?,Computer Science,Operating Systems,2,thehitman@gmail.com
4,What is the purpose of content management systems (CMS) like WordPress?,Computer Science,Web Development,3,thehitman@gmail.com
5,Explain the concept of natural language processing (NLP).,Computer Science,Artificial Intelligence,4,thehitman@gmail.com
1,What is a suffix tree data structure?,Computer Science,Data Structures,1,thehitman@gmail.com
2,What is the difference between multi-core and multi-processor systems?,Computer Science,Computer Architecture,1,thehitman@gmail.com
3,What is a semaphore?,Computer Science,Operating Systems,2,thehitman@gmail.com
4,What is the purpose of web servers like Apache or Nginx?,Computer Science,Web Development,3,thehitman@gmail.com
5,Explain the concept of computer vision.,Computer Science,Artificial Intelligence,4,thehitman@gmail.com
1,What is a skip list data structure used for?,Computer Science,Data Structures,1,thehitman@gmail.com
2,What is the difference between authentication and authorization?,Computer Science,Security,1,thehitman@gmail.com
3,What is a network protocol?,Computer Science,Networking,2,thehitman@gmail.com
4,What is the purpose of agile software development methodologies?,Computer Science,Software Development,3,thehitman@gmail.com
5,Explain the concept of fuzzy logic.,Computer Science,Artificial Intelligence,4,thehitman@gmail.com
1,What is a trie data structure used for?,Computer Science,Data Structures,1,thehitman@gmail.com
2,What is the difference between symmetric and asymmetric encryption?,Computer Science,Cryptography,1,thehitman@gmail.com
3,What is a distributed file system?,Computer Science,Distributed Systems,2,thehitman@gmail.com
4,What is the purpose of virtual machines?,Computer Science,Virtualization,3,thehitman@gmail.com
5,Explain the concept of machine learning algorithms.,Computer Science,Artificial Intelligence,4,thehitman@gmail.com
1,What is a Bloom filter used for?,Computer Science,Data Structures,1,thehitman@gmail.com
2,What is the difference between an API and a library?,Computer Science,Software Development,1,thehitman@gmail.com
3,What is a routing algorithm?,Computer Science,Networking,2,thehitman@gmail.com
4,What is the purpose of data mining?,Computer Science,Data Science,3,thehitman@gmail.com
5,Explain the concept of deep learning.,Computer Science,Artificial Intelligence,4,thehitman@gmail.com
1,What is a B-tree data structure?,Computer Science,Data Structures,1,thehitman@gmail.com
2,What is the difference between HTTP and WebSocket protocols?,Computer Science,Networking,1,thehitman@gmail.com
3,What is a relational database?,Computer Science,Databases,2,thehitman@gmail.com
4,What is the purpose of encryption?,Computer Science,Cryptography,3,thehitman@gmail.com
5,Explain the concept of reinforcement learning.,Computer Science,Artificial Intelligence,4,thehitman@gmail.com
1,What is a segment fault?,Computer Science,Operating Systems,1,thehitman@gmail.com
2,What is the difference between a stack and a heap in memory management?,Computer Science,Computer Science Fundamentals,1,thehitman@gmail.com
3,What is a binary semaphore?,Computer Science,Operating Systems,2,thehitman@gmail.com
4,What is the purpose of cloud storage services like Dropbox or Google Drive?,Computer Science,Cloud Computing,3,thehitman@gmail.com
5,What is the traveling salesman problem?,Computer Science,Algorithms,5,thehitman@gmail.com
3,Explain the concept of virtualization.,Computer Science,Computer Science Fundamentals,5,thehitman@gmail.com
4,What is a quantum computer?,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Explain the concept of neural networks.,Computer Science,Artificial Intelligence,5,thehitman@gmail.com
4,What is the purpose of blockchain technology?,Computer Science,Cryptocurrency,5,thehitman@gmail.com
5,Explain the concept of the CAP theorem in distributed systems.,Computer Science,Distributed Systems,5,thehitman@gmail.com
3,What is the difference between machine learning and deep learning?,Computer Science,Artificial Intelligence,5,thehitman@gmail.com
4,Explain the concept of sharding in databases.,Computer Science,Databases,5,thehitman@gmail.com
5,What is the purpose of natural language generation (NLG)?,Computer Science,Artificial Intelligence,5,thehitman@gmail.com
5,Explain the concept of consensus algorithms in blockchain.,Computer Science,Cryptocurrency,5,thehitman@gmail.com
1,What is the purpose of a MAC address in networking?,Computer Science,Networking,1,thehitman@gmail.com
1,Explain the concept of subnetting in IP networking.,Computer Science,Networking,1,thehitman@gmail.com
1,What is the difference between IPv4 and IPv6?,Computer Science,Networking,1,thehitman@gmail.com
1,What is a broadcast address in networking?,Computer Science,Networking,1,thehitman@gmail.com
1,What is the purpose of a default gateway in networking?,Computer Science,Networking,1,thehitman@gmail.com
2,What is a VLAN (Virtual Local Area Network)?,Computer Science,Networking,1,thehitman@gmail.com
2,Explain the concept of port forwarding in routers.,Computer Science,Networking,1,thehitman@gmail.com
2,What is the purpose of ARP (Address Resolution Protocol)?,Computer Science,Networking,1,thehitman@gmail.com
2,What is the difference between half-duplex and full-duplex communication?,Computer Science,Networking,1,thehitman@gmail.com
2,What is a subnet mask and how is it used in networking?,Computer Science,Networking,1,thehitman@gmail.com
3,Explain the concept of NAT (Network Address Translation).,Computer Science,Networking,2,thehitman@gmail.com
3,What is the purpose of DNS (Domain Name System) in networking?,Computer Science,Networking,2,thehitman@gmail.com
3,What is the difference between a hub and a switch?,Computer Science,Networking,2,thehitman@gmail.com
3,What is a router and how does it work in a network?,Computer Science,Networking,2,thehitman@gmail.com
3,Explain the concept of QoS (Quality of Service) in networking.,Computer Science,Networking,2,thehitman@gmail.com
4,What is a network firewall and how does it enhance security?,Computer Science,Networking,2,thehitman@gmail.com
4,What is the purpose of ICMP (Internet Control Message Protocol)?,Computer Science,Networking,2,thehitman@gmail.com
4,What is the difference between unicast multicast and broadcast communication?,Computer Science,Networking,2,thehitman@gmail.com
4,Explain the concept of VPN (Virtual Private Network).,Computer Science,Networking,2,thehitman@gmail.com
4,What is a proxy server and how does it work in a network?,Computer Science,Networking,2,thehitman@gmail.com
1,What is the purpose of DHCP (Dynamic Host Configuration Protocol)?,Computer Science,Networking,3,thehitman@gmail.com
1,What is the difference between a public IP address and a private IP address?,Computer Science,Networking,3,thehitman@gmail.com
1,Explain the concept of port numbers in networking.,Computer Science,Networking,3,thehitman@gmail.com
1,What is a MAC address table and how is it used in switches?,Computer Science,Networking,3,thehitman@gmail.com
1,What is the purpose of the OSI (Open Systems Interconnection) model?,Computer Science,Networking,3,thehitman@gmail.com
2,What is the difference between a router and a gateway?,Computer Science,Networking,3,thehitman@gmail.com
2,Explain the concept of load balancing in networking.,Computer Science,Networking,3,thehitman@gmail.com
2,What is the purpose of STP (Spanning Tree Protocol)?,Computer Science,Networking,3,thehitman@gmail.com
2,What is a network interface card (NIC) and how does it work?,Computer Science,Networking,3,thehitman@gmail.com
2,What is the difference between circuit-switched and packet-switched networks?,Computer Science,Networking,3,thehitman@gmail.com
3,Explain the concept of MPLS (Multiprotocol Label Switching).,Computer Science,Networking,4,thehitman@gmail.com
3,What is the purpose of BGP (Border Gateway Protocol) in the internet?,Computer Science,Networking,4,thehitman@gmail.com
3,What is the difference between a stateful firewall and a stateless firewall?,Computer Science,Networking,4,thehitman@gmail.com
5,Explain the concept of different network topologies.,Computer Science,Networking,4,thehitman@gmail.com
3,What is the purpose of link aggregation (LACP) in networking?,Computer Science,Networking,4,thehitman@gmail.com
4,What is a DMZ (Demilitarized Zone) in networking?,Computer Science,Networking,4,thehitman@gmail.com
4,What is the purpose of port security on a switch?,Computer Science,Networking,4,thehitman@gmail.com
4,What is the difference between a MAC flood attack and a DNS amplification attack?,Computer Science,Networking,4,thehitman@gmail.com
4,Explain the concept of port mirroring (SPAN) in networking.,Computer Science,Networking,4,thehitman@gmail.com
4,What is the purpose of VRRP (Virtual Router Redundancy Protocol)?,Computer Science,Networking,4,thehitman@gmail.com
1,What is the difference between Ethernet and Wi-Fi (802.11)?,Computer Science,Networking,5,thehitman@gmail.com
1,Explain the concept of IPsec (Internet Protocol Security).,Computer Science,Networking,5,thehitman@gmail.com
1,What is the purpose of ICMPv6 (Internet Control Message Protocol version 6)?,Computer Science,Networking,5,thehitman@gmail.com
1,What is the difference between a hub and a repeater?,Computer Science,Networking,5,thehitman@gmail.com
1,Explain the concept of broadcast storms in networking.,Computer Science,Networking,5,thehitman@gmail.com
2,What is a network switch fabric and how does it improve performance?,Computer Science,Networking,5,thehitman@gmail.com
2,What is the purpose of a proxy ARP in networking?,Computer Science,Networking,5,thehitman@gmail.com
2,What is the difference between a static IP address and a dynamic IP address?,Computer Science,Networking,5,thehitman@gmail.com
2,Explain the concept of network congestion and how it can be managed.,Computer Science,Networking,5,thehitman@gmail.com
2,What is a collision domain and how is it related to Ethernet networks?,Computer Science,Networking,5,thehitman@gmail.com
3,What is a network bridge and how does it differ from a switch?,Computer Science,Networking,5,thehitman@gmail.com
3,What is the purpose of IGMP (Internet Group Management Protocol)?,Computer Science,Networking,5,thehitman@gmail.com
3,What is the difference between L2TP and PPTP in VPNs?,Computer Science,Networking,5,thehitman@gmail.com
3,Explain the concept of Jumbo Frames and their advantages in networking.,Computer Science,Networking,5,thehitman@gmail.com
3,What is a MAC flooding attack and how can it be mitigated?,Computer Science,Networking,5,thehitman@gmail.com
4,What is a 802.1Q VLAN tag and how is it used in trunking?,Computer Science,Networking,5,thehitman@gmail.com
4,What is the purpose of RSTP (Rapid Spanning Tree Protocol)?,Computer Science,Networking,5,thehitman@gmail.com
4,What is the difference between an anycast and a unicast address?,Computer Science,Networking,5,thehitman@gmail.com
4,Explain the concept of network tunneling and its applications.,Computer Science,Networking,5,thehitman@gmail.com
4,What is a SYN flood attack and how can it affect network performance?,Computer Science,Networking,5,thehitman@gmail.com
5,Explain the concept of SDN (Software-Defined Networking) and its benefits.,Computer Science,Networking,5,thehitman@gmail.com
5,What is the purpose of MPLS (Multiprotocol Label Switching) in large-scale networks?,Computer Science,Networking,5,thehitman@gmail.com
5,Compare and contrast the advantages and disadvantages of IPv4 and IPv6.,Computer Science,Networking,5,thehitman@gmail.com
5,Explain the concept of BGP (Border Gateway Protocol) and its role in internet routing.,Computer Science,Networking,5,thehitman@gmail.com
5,What is the purpose of multicast communication in networking?,Computer Science,Networking,5,thehitman@gmail.com
5,Discuss the challenges and solutions of implementing QoS (Quality of Service) in real-time applications.,Computer Science,Networking,5,thehitman@gmail.com
5,Explain the concept of network virtualization and its impact on network management.,Computer Science,Networking,5,thehitman@gmail.com
5,What is the purpose of network slicing in 5G networks?,Computer Science,Networking,5,thehitman@gmail.com
5,Compare and contrast software-based firewalls and hardware-based firewalls.,Computer Science,Networking,5,thehitman@gmail.com
5,Explain the concept of network orchestration and its role in automated network management.,Computer Science,Networking,5,thehitman@gmail.com
5,What is the purpose of Anycast routing in distributed networks?,Computer Science,Networking,5,thehitman@gmail.com
5,Discuss the benefits and challenges of implementing IoT (Internet of Things) in networking.,Computer Science,Networking,5,thehitman@gmail.com
5,Explain the concept of network function virtualization (NFV) and its applications.,Computer Science,Networking,5,thehitman@gmail.com
5,What is the purpose of DNSSEC (Domain Name System Security Extensions)?,Computer Science,Networking,5,thehitman@gmail.com
5,Compare and contrast circuit-switched networks and packet-switched networks.,Computer Science,Networking,5,thehitman@gmail.com
5,Explain the concept of network coding and its applications in data transmission.,Computer Science,Networking,5,thehitman@gmail.com
5,What is the purpose of network telemetry in modern network monitoring?,Computer Science,Networking,5,thehitman@gmail.com
5,Discuss the challenges and solutions of securing IoT devices in a network.,Computer Science,Networking,5,thehitman@gmail.com
5,Explain the concept of link-state routing protocols and their advantages.,Computer Science,Networking,5,thehitman@gmail.com
5,What is the purpose of network slicing in 5G networks?,Computer Science,Networking,5,thehitman@gmail.com
1,What is an array?,Computer Science,Data Structures,3,thehitman@gmail.com
1,Define a linked list.,Computer Science,Data Structures,2,thehitman@gmail.com
1,What is a stack and how does it work?,Computer Science,Data Structures,3,thehitman@gmail.com
1,Explain the concept of a queue.,Computer Science,Data Structures,3,thehitman@gmail.com
1,What is the key feature of a binary search tree?,Computer Science,Data Structures,2,thehitman@gmail.com
1,Define a hash table.,Computer Science,Data Structures,2,thehitman@gmail.com
1,What is the purpose of a graph data structure?,Computer Science,Data Structures,3,thehitman@gmail.com
1,Explain the concept of a priority queue.,Computer Science,Data Structures,3,thehitman@gmail.com
1,Define a heap and its types.,Computer Science,Data Structures,3,thehitman@gmail.com
1,What is the difference between a singly linked list and a doubly linked list?,Computer Science,Data Structures,2,thehitman@gmail.com
1,Explain the time complexity of accessing an element in an array.,Computer Science,Data Structures,3,thehitman@gmail.com
1,"Define the term hashing"""" in data structures.""""",Computer Science,Data Structures,2,thehitman@gmail.com
1,What is the basic principle of a trie?,Computer Science,Data Structures,3,thehitman@gmail.com
1,Explain the concept of dynamic arrays.,Computer Science,Data Structures,2,thehitman@gmail.com
1,Define a circular linked list.,Computer Science,Data Structures,3,thehitman@gmail.com
1,What is the use of a bloom filter?,Computer Science,Data Structures,4,thehitman@gmail.com
1,"Define the term sparse matrix"""" in data structures.""""",Computer Science,Data Structures,2,thehitman@gmail.com
1,Explain the concept of a red-black tree.,Computer Science,Data Structures,4,thehitman@gmail.com
1,What is the purpose of a B-tree?,Computer Science,Data Structures,3,thehitman@gmail.com
1,Define a self-balancing tree.,Computer Science,Data Structures,4,thehitman@gmail.com
1,What is the time complexity of linear search?,Computer Science,Algorithms,2,thehitman@gmail.com
1,"Define the term greedy algorithm.""""""""",Computer Science,Algorithms,2,thehitman@gmail.com
1,Explain the process of binary search.,Computer Science,Algorithms,3,thehitman@gmail.com
1,What is the main idea behind the divide and conquer strategy?,Computer Science,Algorithms,3,thehitman@gmail.com
1,"Define the term backtracking"""" in algorithms.""""",Computer Science,Algorithms,3,thehitman@gmail.com
1,Explain the concept of the bubble sort algorithm.,Computer Science,Algorithms,2,thehitman@gmail.com
1,What is the purpose of Dijkstra's algorithm?,Computer Science,Algorithms,4,thehitman@gmail.com
1,"Define the term dynamic programming.""""""""",Computer Science,Algorithms,3,thehitman@gmail.com
1,Explain the process of the quicksort algorithm.,Computer Science,Algorithms,3,thehitman@gmail.com
1,What is the time complexity of the merge sort algorithm?,Computer Science,Algorithms,2,thehitman@gmail.com
1,"Define the term algorithmic complexity.""""""""",Computer Science,Algorithms,2,thehitman@gmail.com
1,Explain the concept of the breadth-first search (BFS) algorithm.,Computer Science,Algorithms,3,thehitman@gmail.com
1,What is the use of the Kruskal's algorithm?,Computer Science,Algorithms,4,thehitman@gmail.com
1,"Define the term time complexity.""""""""",Computer Science,Algorithms,2,thehitman@gmail.com
1,Explain the concept of the insertion sort algorithm.,Computer Science,Algorithms,2,thehitman@gmail.com
1,What is the purpose of the Floyd-Warshall algorithm?,Computer Science,Algorithms,4,thehitman@gmail.com
1,"Define the term asymptotic notation"""" (Big-O notation).""""",Computer Science,Algorithms,2,thehitman@gmail.com
1,Explain the concept of the selection sort algorithm.,Computer Science,Algorithms,2,thehitman@gmail.com
1,What is the time complexity of the heap sort algorithm?,Computer Science,Algorithms,3,thehitman@gmail.com
1,"Define the term graph traversal"""" in algorithms.""""",Computer Science,Algorithms,3,thehitman@gmail.com
1,What is a variable in programming?,Computer Science,Computer Programming,1,thehitman@gmail.com
1,"Define the term function"""" in programming.""""",Computer Science,Computer Programming,1,thehitman@gmail.com
1,Explain the purpose of conditional statements (if-else) in programming.,Computer Science,Computer Programming,2,thehitman@gmail.com
1,What is a loop in computer programming?,Computer Science,Computer Programming,1,thehitman@gmail.com
1,"Define the term data type.""""""""",Computer Science,Computer Programming,1,thehitman@gmail.com
1,Explain the concept of arrays in programming.,Computer Science,Computer Programming,1,thehitman@gmail.com
1,What is the purpose of object-oriented programming (OOP)?,Computer Science,Computer Programming,2,thehitman@gmail.com
1,"Define the term recursion"""" in programming.""""",Computer Science,Computer Programming,2,thehitman@gmail.com
1,"Explain the use of the switch"""" statement in programming.""""",Computer Science,Computer Programming,2,thehitman@gmail.com
1,What is the purpose of a constructor in object-oriented programming?,Computer Science,Computer Programming,2,thehitman@gmail.com
1,"Define the term pointer"""" in programming.""""",Computer Science,Computer Programming,2,thehitman@gmail.com
1,"Explain the concept of inheritance"""" in object-oriented programming.""""",Computer Science,Computer Programming,3,thehitman@gmail.com
1,What is the purpose of exception handling in programming?,Computer Science,Computer Programming,3,thehitman@gmail.com
1,"Define the term string"""" in programming.""""",Computer Science,Computer Programming,1,thehitman@gmail.com
1,Explain the concept of encapsulation in object-oriented programming.,Computer Science,Computer Programming,3,thehitman@gmail.com
1,"What is the purpose of the for"""" loop in programming?""""",Computer Science,Computer Programming,1,thehitman@gmail.com
1,"Define the term polymorphism"""" in object-oriented programming.""""",Computer Science,Computer Programming,3,thehitman@gmail.com
1,Explain the concept of file input/output (I/O) in programming.,Computer Science,Computer Programming,2,thehitman@gmail.com
1,"What is the purpose of the while"""" loop in programming?""""",Computer Science,Computer Programming,1,thehitman@gmail.com
1,"Define the term abstraction"""" in object-oriented programming.""""",Computer Science,Computer Programming,3,thehitman@gmail.com
2,Explain the advantages and disadvantages of using an array.,Computer Science,Data Structures,4,thehitman@gmail.com
2,Compare and contrast singly linked lists and doubly linked lists.,Computer Science,Data Structures,3,thehitman@gmail.com
2,Describe the working principle of a stack and its real-world applications.,Computer Science,Data Structures,4,thehitman@gmail.com
2,Discuss the different methods of traversing a binary tree.,Computer Science,Data Structures,4,thehitman@gmail.com
2,Explain the process of hash collision resolution in a hash table.,Computer Science,Data Structures,3,thehitman@gmail.com
2,Compare the time complexities of linear search and binary search.,Computer Science,Data Structures,4,thehitman@gmail.com
2,Implement a priority queue using a binary heap and demonstrate its usage.,Computer Science,Data Structures,4,thehitman@gmail.com
2,How can you implement a circular queue using an array?,Computer Science,Data Structures,4,thehitman@gmail.com
2,Describe the concept of a self-adjusting list and its benefits.,Computer Science,Data Structures,3,thehitman@gmail.com
2,Implement the operations of insert and delete for a binary search tree.,Computer Science,Data Structures,4,thehitman@gmail.com
2,Discuss the role of a hash function in a hash table and its requirements.,Computer Science,Data Structures,3,thehitman@gmail.com
2,Explain the process of balancing a red-black tree after a node insertion.,Computer Science,Data Structures,5,thehitman@gmail.com
2,Implement Dijkstra's algorithm to find the shortest path in a weighted graph.,Computer Science,Data Structures,4,thehitman@gmail.com
2,Describe the steps to perform the union operation in a disjoint-set data structure.,Computer Science,Data Structures,4,thehitman@gmail.com
2,Discuss the working principle of a trie and its use in string searching.,Computer Science,Data Structures,4,thehitman@gmail.com
2,Compare the time complexities of various sorting algorithms.,Computer Science,Data Structures,3,thehitman@gmail.com
2,Implement the breadth-first search (BFS) algorithm for a graph traversal.,Computer Science,Data Structures,4,thehitman@gmail.com
2,Discuss the concept of a minimum spanning tree (MST) and its applications.,Computer Science,Data Structures,4,thehitman@gmail.com
